foot,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,sensor13,sensor14,sensor15,sensor16,timestamp
0.0,79.0,81.0,83.0,85.0,87.0,89.0,91.0,93.0,95.0,97.0,99.0,101.0,103.0,105.0,107.0,109.0,100
1.0,50.0,48.0,46.0,44.0,42.0,40.0,38.0,36.0,34.0,32.0,30.0,28.0,26.0,24.0,22.0,20.0,100
0.0,78.20833333333333,80.125,82.04166666666667,83.95833333333333,85.875,87.79166666666667,89.70833333333333,91.625,93.54166666666667,95.45833333333333,97.375,99.29166666666667,101.20833333333333,103.125,105.04166666666667,106.95833333333333,101
1.0,50.416666666666664,48.5,46.583333333333336,44.666666666666664,42.75,40.833333333333336,38.916666666666664,37.0,35.083333333333336,33.166666666666664,31.25,29.333333333333332,27.416666666666668,25.5,23.583333333333332,21.666666666666668,101
0.0,77.41666666666667,79.25,81.08333333333333,82.91666666666667,84.75,86.58333333333333,88.41666666666667,90.25,92.08333333333333,93.91666666666667,95.75,97.58333333333333,99.41666666666667,101.25,103.08333333333333,104.91666666666667,102
1.0,50.833333333333336,49.0,47.166666666666664,45.333333333333336,43.5,41.666666666666664,39.833333333333336,38.0,36.166666666666664,34.333333333333336,32.5,30.666666666666668,28.833333333333332,27.0,25.166666666666668,23.333333333333332,102
0.0,76.625,78.375,80.125,81.875,83.625,85.375,87.125,88.875,90.625,92.375,94.125,95.875,97.625,99.375,101.125,102.875,103
1.0,51.25,49.5,47.75,46.0,44.25,42.5,40.75,39.0,37.25,35.5,33.75,32.0,30.25,28.5,26.75,25.0,103
0.0,75.83333333333333,77.5,79.16666666666667,80.83333333333333,82.5,84.16666666666667,85.83333333333333,87.5,89.16666666666667,90.83333333333333,92.5,94.16666666666667,95.83333333333333,97.5,99.16666666666667,100.83333333333333,104
1.0,51.666666666666664,50.0,48.333333333333336,46.666666666666664,45.0,43.333333333333336,41.666666666666664,40.0,38.333333333333336,36.666666666666664,35.0,33.333333333333336,31.666666666666664,30.0,28.333333333333332,26.666666666666664,104
0.0,75.04166666666667,76.625,78.20833333333333,79.79166666666667,81.375,82.95833333333333,84.54166666666667,86.125,87.70833333333333,89.29166666666667,90.875,92.45833333333333,94.04166666666667,95.625,97.20833333333333,98.79166666666667,105
1.0,52.083333333333336,50.5,48.916666666666664,47.333333333333336,45.75,44.166666666666664,42.583333333333336,41.0,39.416666666666664,37.833333333333336,36.25,34.666666666666664,33.083333333333336,31.5,29.916666666666664,28.333333333333332,105
0.0,74.25,75.75,77.25,78.75,80.25,81.75,83.25,84.75,86.25,87.75,89.25,90.75,92.25,93.75,95.25,96.75,106
1.0,52.5,51.0,49.5,48.0,46.5,45.0,43.5,42.0,40.5,39.0,37.5,36.0,34.5,33.0,31.5,30.0,106
0.0,73.45833333333333,74.875,76.29166666666667,77.70833333333333,79.125,80.54166666666667,81.95833333333333,83.375,84.79166666666667,86.20833333333333,87.625,89.04166666666667,90.45833333333334,91.875,93.29166666666667,94.70833333333334,107
1.0,52.916666666666664,51.5,50.083333333333336,48.666666666666664,47.25,45.83333333333333,44.416666666666664,43.0,41.58333333333333,40.166666666666664,38.75,37.33333333333333,35.916666666666664,34.5,33.08333333333333,31.666666666666664,107
