foot,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,sensor13,sensor14,sensor15,sensor16,timestamp
0,120,120,118,116,114,112,110,98,96,94,92,90,86,84,82,200,2025-02-11T15:50:46
1,101,99,52,42,6.8,11,101,99,101,99,41,99,101,50,99,101,2025-02-11T15:50:46
0,99,101,50,40,6.6,13,99,101,99,101,39,101,99,48,101,99,2025-02-11T15:50:47
1,102,98,53,39,6.9,10,102,98,102,98,42,98,102,51,98,102,2025-02-11T15:50:47
0,98,102,49,43,6.5,14,98,102,98,102,38,102,98,47,102,98,2025-02-11T15:50:48
1,103,97,54,38,7.0,9,103,97,103,97,43,97,103,52,97,103,2025-02-11T15:50:48
0,97,103,48,44,6.4,15,97,103,97,103,37,103,97,46,103,97,2025-02-11T15:50:49
1,104,96,55,37,7.1,8,104,96,104,96,44,96,104,53,96,104,2025-02-11T15:50:49
0,96,104,47,45,6.3,16,96,104,96,104,36,104,96,45,104,96,2025-02-11T15:50:50
1,105,95,56,36,7.2,7,105,95,105,95,45,95,105,54,95,105,2025-02-11T15:50:50
0,95,105,46,46,6.2,17,95,105,95,105,35,105,95,44,105,95,2025-02-11T15:50:51
1,106,94,57,35,7.3,6,106,94,106,94,46,94,106,55,94,106,2025-02-11T15:50:51
